texts,llm_responses,actual_labels,complete_responses,extracted_labels
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",0,0,"ModelResponse(id='chatcmpl-0eaac3ca-70ef-42c3-b203-f9b79fe7c90a', created=1738355620, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=98, total_tokens=99, completion_tokens_details=None, prompt_tokens_details=None))",0
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",0,0,"ModelResponse(id='chatcmpl-e2a7eb8d-d8f3-4d80-94ca-55499443df06', created=1738355620, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=105, total_tokens=106, completion_tokens_details=None, prompt_tokens_details=None))",0
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,1,0,"ModelResponse(id='chatcmpl-5daf295a-4360-4f7a-94a9-5c2dba2a49ff', created=1738355621, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='1', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=89, total_tokens=90, completion_tokens_details=None, prompt_tokens_details=None))",1
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",0,1,"ModelResponse(id='chatcmpl-df4c52b2-2a81-473a-90b1-5322d7e3616a', created=1738355621, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=101, total_tokens=102, completion_tokens_details=None, prompt_tokens_details=None))",0
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,0,2,"ModelResponse(id='chatcmpl-926b9477-00be-49c4-b0e9-1d7c45fa709c', created=1738355621, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=88, total_tokens=89, completion_tokens_details=None, prompt_tokens_details=None))",0
"`` The biggest challenge was to make the piece look raw , '' Hansen said .",0,2,"ModelResponse(id='chatcmpl-3179fe9e-c1a4-4b7d-a7c3-b756bd29dc17', created=1738355621, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=79, total_tokens=80, completion_tokens_details=None, prompt_tokens_details=None))",0
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",1,0,"ModelResponse(id='chatcmpl-1b5f4217-d804-48b3-a6e4-a1cc6364aa38', created=1738355621, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='1', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=111, total_tokens=112, completion_tokens_details=None, prompt_tokens_details=None))",1
"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries .",0,2,"ModelResponse(id='chatcmpl-6a905159-d0b4-4479-9ff4-e3f76d170293', created=1738355621, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=98, total_tokens=99, completion_tokens_details=None, prompt_tokens_details=None))",0
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,0,2,"ModelResponse(id='chatcmpl-8861c407-d557-43da-83fc-658c8fcc5ab4', created=1738355621, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=96, total_tokens=97, completion_tokens_details=None, prompt_tokens_details=None))",0
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",0,1,"ModelResponse(id='chatcmpl-c598e1be-74f1-4b29-8e3e-4c73a1e7f010', created=1738355621, model='command-r-plus-08-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='0', role='assistant', tool_calls=None, function_call=None, provider_specific_fields=None))], usage=Usage(completion_tokens=1, prompt_tokens=87, total_tokens=88, completion_tokens_details=None, prompt_tokens_details=None))",0
