sentences,llm_responses,actual_labels,complete_responses
"['H', 'ave', 'you', 'ever', 'felt', 'that', 'sudden', ',', 'intense', 'dread', 'that', 'you', '’re', 'about', 'to', 'die', '?']",Sure,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","ModelResponse(id='8f1999251cf0840b-YVR', created=1734131118, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=243, total_tokens=245, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['That', 'in', 'less', 'than', 'seven', 'minutes', ',', 'the', 'knot', 'of', 'fear', 'and', 'anxiety', 'unspooling', 'at', 'speed', 'will', 'swallow', 'you', 'whole', ',', 'rendering', 'your', 'life', 'blank', 'and', 'your', 'existence', 'meaningless', '?']",Sure,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","ModelResponse(id='8f19992559668405-YVR', created=1734131119, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=290, total_tokens=292, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['And', 'all', 'because', 'you', 'failed', 'to', 'prepare', '!']",Sure,"[0, 0, 0, 0, 0, 0, 0, 0]","ModelResponse(id='8f199925ee3b8453-YVR', created=1734131119, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=211, total_tokens=213, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['You', 'idiot', '!']",Sure,"[0, 0, 0]","ModelResponse(id='8f199925d9b98449-YVR', created=1734131119, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=197, total_tokens=199, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['And', 'now', 'you', '’re', 'on', 'a', 'train', 'carriage', 'in', 'a', 'clammy', 'panic', 'desperately', 'searching', 'for', 'hope', '.']",Sure,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","ModelResponse(id='8f19992598eb2d5a-YVR', created=1734131118, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=245, total_tokens=247, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['Also', 'known', 'as', '“', 'a', 'plug', 'point', '”', '.']",Sure,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","ModelResponse(id='8f199925ad152d42-YVR', created=1734131119, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=214, total_tokens=216, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['Also', 'known', 'as', 'the', 'one', 'thing', 'keeping', 'you', 'connected', 'and', 'alive', ',', 'contactable', 'at', 'all', 'times', 'for', 'an', 'urgent', 'call', 'about', 'the', 'missold', 'PPI', 'you', '’ve', 'never', 'bought', '.']",Sure,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","ModelResponse(id='8f199925aadb8450-YVR', created=1734131119, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=281, total_tokens=283, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['Dead', '-', 'battery', 'anxiety', 'is', 'a', 'thing', '.']",Sure,"[0, 0, 0, 0, 0, 0, 0, 0]","ModelResponse(id='8f199925b9818449-YVR', created=1734131119, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=214, total_tokens=216, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['Last', 'week', 'a', 'man', 'named', 'Robin', 'Lee', 'was', 'told', 'he', 'would', 'be', 'arrested', ',', 'presumably', 'for', 'crimes', 'against', 'electricity', ',', 'if', 'he', 'refused', 'to', 'unplug', 'his', 'i', 'Phone', 'from', 'a', 'socket', 'on', 'the', 'London', 'Overground', '.']",Sure,"[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0]","ModelResponse(id='8f199925ef578417-YVR', created=1734131119, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=308, total_tokens=310, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"['He', 'did', 'n’t', ',', 'and', 'he', 'was', '–', 'only', 'to', 'be', '“', 'de-', 'arrested', '”', 'later', 'while', 'self', '-', 'righteously', 'claiming', '“', 'the', 'whole', 'thing', 'was', 'ridiculous', '”', ',', 'unlike', 'his', 'normalised', 'need', 'to', 'be', '“', 'on', '”', 'at', 'all', 'times', '.']",Sure,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","ModelResponse(id='8f199925cce42d72-YVR', created=1734131119, model='together_ai/meta-llama/Llama-2-13b-chat-hf', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='  Sure', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=2, prompt_tokens=324, total_tokens=326, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
