documents,llm_responses,actual_labels,complete_responses
How do I locate my card?,"The sentence ""How do I locate my card?"" belongs to the category ""card_acceptance"". This category is related to the process of receiving and locating the physical card, which is often a crucial step after activation or ordering.",11,"ModelResponse(id='chatcmpl-e171bb38-ca9f-4325-931d-7643c7e9fac9', created=1738128096, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""How do I locate my card?"" belongs to the category ""card_acceptance"". This category is related to the process of receiving and locating the physical card, which is often a crucial step after activation or ordering.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=45, prompt_tokens=662, total_tokens=707, completion_tokens_details=None, prompt_tokens_details=None))"
"I still have not received my new card, I ordered over a week ago.","The sentence ""I still have not received my new card, I ordered over a week ago"" belongs to the category of **card_arrival**. This category is relevant as it pertains to the status of a card order, which is the main focus of the sentence.",11,"ModelResponse(id='chatcmpl-b9cd7bb6-2d6f-44c7-bdcd-557275e0fd68', created=1738128097, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I still have not received my new card, I ordered over a week ago"" belongs to the category of **card_arrival**. This category is relevant as it pertains to the status of a card order, which is the main focus of the sentence.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=54, prompt_tokens=671, total_tokens=725, completion_tokens_details=None, prompt_tokens_details=None))"
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category of **card_arrival**. This category pertains to issues related to the delivery of the physical card, including delays or non-arrival.",11,"ModelResponse(id='chatcmpl-6a797d83-4788-46c3-9c12-976c7af39e20', created=1738128097, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category of **card_arrival**. This category pertains to issues related to the delivery of the physical card, including delays or non-arrival.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=49, prompt_tokens=668, total_tokens=717, completion_tokens_details=None, prompt_tokens_details=None))"
Is there a way to know when my card will arrive?,"The sentence ""Is there a way to know when my card will arrive?"" belongs to the category of **card_arrival**. This category pertains to inquiries about the delivery status and timing of a physical card.",11,"ModelResponse(id='chatcmpl-b6e59c3a-5974-4fd5-abfe-c302db679436', created=1738128097, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Is there a way to know when my card will arrive?"" belongs to the category of **card_arrival**. This category pertains to inquiries about the delivery status and timing of a physical card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=667, total_tokens=709, completion_tokens_details=None, prompt_tokens_details=None))"
My card has not arrived yet.,"The sentence ""My card has not arrived yet"" belongs to the category **card_arrival**. This category pertains to issues related to the delivery of the physical card to the user.",11,"ModelResponse(id='chatcmpl-f54c1b77-2194-45bb-8d01-6441d2759005', created=1738128098, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""My card has not arrived yet"" belongs to the category **card_arrival**. This category pertains to issues related to the delivery of the physical card to the user.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=37, prompt_tokens=662, total_tokens=699, completion_tokens_details=None, prompt_tokens_details=None))"
When will I get my card?,"The sentence ""When will I get my card?"" belongs to the category of **card_arrival**. This category pertains to inquiries about the timing of card delivery, which is a common concern for users who have recently activated their cards or ordered a physical card.",11,"ModelResponse(id='chatcmpl-ed6f9ae7-b73d-4fb5-9935-745491fa2238', created=1738128098, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""When will I get my card?"" belongs to the category of **card_arrival**. This category pertains to inquiries about the timing of card delivery, which is a common concern for users who have recently activated their cards or ordered a physical card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=52, prompt_tokens=662, total_tokens=714, completion_tokens_details=None, prompt_tokens_details=None))"
Do you know if there is a tracking number for the new card you sent me?,"The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category of **card_delivery_estimate**. This category is related to inquiries about the status and tracking of a physical card being delivered to the user.",11,"ModelResponse(id='chatcmpl-50b4c519-eea0-47bd-92b7-aa715c809bda', created=1738128099, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category of **card_delivery_estimate**. This category is related to inquiries about the status and tracking of a physical card being delivered to the user.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=53, prompt_tokens=672, total_tokens=725, completion_tokens_details=None, prompt_tokens_details=None))"
i have not received my card,"The sentence ""I have not received my card"" belongs to the category ""card_arrival."" This category typically deals with issues related to the delivery of the physical card, including delays, missing cards, and other concerns related to the card's arrival at the customer's address.",11,"ModelResponse(id='chatcmpl-7dd7bc66-368b-4422-bcce-422e4c1d0f1b', created=1738128099, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I have not received my card"" belongs to the category ""card_arrival."" This category typically deals with issues related to the delivery of the physical card, including delays, missing cards, and other concerns related to the card\'s arrival at the customer\'s address.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=56, prompt_tokens=661, total_tokens=717, completion_tokens_details=None, prompt_tokens_details=None))"
still waiting on that card,"The sentence ""still waiting on that card"" belongs to the category of **card_acceptance**. This category is related to the process of receiving and using a card, and the sentence indicates a delay in receiving the card, which is a common concern in this context.",11,"ModelResponse(id='chatcmpl-b6b2e173-9d42-4c28-a9cc-b5e58e297cd7', created=1738128100, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""still waiting on that card"" belongs to the category of **card_acceptance**. This category is related to the process of receiving and using a card, and the sentence indicates a delay in receiving the card, which is a common concern in this context.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=53, prompt_tokens=660, total_tokens=713, completion_tokens_details=None, prompt_tokens_details=None))"
Is it normal to have to wait over a week for my new card?,"The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category of **card_delivery_estimate**. This category is concerned with inquiries about the estimated time it takes for a new card to arrive after an order or activation request.",11,"ModelResponse(id='chatcmpl-d9d721f4-9941-4a3c-9e21-3d82f2eba027', created=1738128100, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category of **card_delivery_estimate**. This category is concerned with inquiries about the estimated time it takes for a new card to arrive after an order or activation request.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=55, prompt_tokens=670, total_tokens=725, completion_tokens_details=None, prompt_tokens_details=None))"
