X_profile,y,llm_responses,complete_responses,extracted_labels
"This customer is a 26-year-old female who has completed high school education and is a citizen. She has an income of $87,355 and a credit score of 455. She is applying for a car loan with a loan length of 0 years and has two signers.",0,"**Label: HIGH RISK**

**Explanation:** This customer's profile indicates a high risk of defaulting on the loan. The low credit score of 455 suggests a history of financial difficulties and a potential inability to manage debt effectively. Additionally, the presence of two signers on the loan application could imply a lack of financial independence or a higher likelihood of co-signer default. The short loan term of zero years is also unusual and may indicate a rushed decision or a lack of proper financial planning. Given these factors, the customer is likely to face challenges in repaying the loan, making them a high-risk candidate","ModelResponse(id='chatcmpl-658ff3a4-6548-4f85-b34b-1447f9584e7e', created=1738140781, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: HIGH RISK**\n\n**Explanation:** This customer's profile indicates a high risk of defaulting on the loan. The low credit score of 455 suggests a history of financial difficulties and a potential inability to manage debt effectively. Additionally, the presence of two signers on the loan application could imply a lack of financial independence or a higher likelihood of co-signer default. The short loan term of zero years is also unusual and may indicate a rushed decision or a lack of proper financial planning. Given these factors, the customer is likely to face challenges in repaying the loan, making them a high-risk candidate"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=226, total_tokens=353, completion_tokens_details=None, prompt_tokens_details=None))",1
"This customer is a 39-year-old male who has completed high school education. He is a citizen and has a credit score of 631. His annual income is $81,346, and he is looking for a car loan. He plans to have two signers on the loan, but the loan length is currently unknown.",0,"**Label: LOW RISK**

**Explanation:** This individual's profile presents a relatively low risk for defaulting on a loan. Here's why:

- **Credit Score:** A credit score of 631 is considered fair and indicates a history of responsible credit usage. While it's not an excellent score, it suggests the individual has a track record of managing debt.

- **Income:** With an annual income of $81,346, this customer has a stable and sufficient income to support a loan repayment. A higher income generally reduces the risk of default.

- **Two Sign","ModelResponse(id='chatcmpl-bffcb7e8-275d-4029-a678-acc57188d35d', created=1738140782, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: LOW RISK**\n\n**Explanation:** This individual's profile presents a relatively low risk for defaulting on a loan. Here's why:\n\n- **Credit Score:** A credit score of 631 is considered fair and indicates a history of responsible credit usage. While it's not an excellent score, it suggests the individual has a track record of managing debt.\n\n- **Income:** With an annual income of $81,346, this customer has a stable and sufficient income to support a loan repayment. A higher income generally reduces the risk of default.\n\n- **Two Sign"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=234, total_tokens=361, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 51-year-old female who has completed college education and is a citizen. She has an annual income of $101,468 and a credit score of 592. She is looking for a car loan with a length of 2 years and will have 2 signers.",0,"**Label: LOW RISK**

**Explanation:** This customer's profile indicates a relatively low risk for defaulting on a loan. Here's why:

- **Income and Credit Score:** An annual income of $101,468 is substantial and suggests a stable financial situation. While a credit score of 592 is not excellent, it is still within a range that lenders typically consider acceptable for loan approval.

- **Education and Citizenship:** Having a college education and citizenship status are positive factors that contribute to a more reliable credit history and financial stability.

- **Loan Purpose:** The","ModelResponse(id='chatcmpl-ce8862e9-8aad-41e2-a820-804be0879347', created=1738140783, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: LOW RISK**\n\n**Explanation:** This customer's profile indicates a relatively low risk for defaulting on a loan. Here's why:\n\n- **Income and Credit Score:** An annual income of $101,468 is substantial and suggests a stable financial situation. While a credit score of 592 is not excellent, it is still within a range that lenders typically consider acceptable for loan approval.\n\n- **Education and Citizenship:** Having a college education and citizenship status are positive factors that contribute to a more reliable credit history and financial stability.\n\n- **Loan Purpose:** The"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=228, total_tokens=355, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 39-year-old female who has completed high school education. She is a citizen and has a credit score of 648. Her income is $115,423 and she is applying for a car loan. The loan will have two signers and the length of the loan is not specified.",0,"**Label:** LOW RISK

**Explanation:** This customer's profile indicates a relatively low risk of defaulting on the loan. Here's why:

- **Credit Score:** A credit score of 648 is considered fair and indicates a history of responsible credit usage. While it's not an excellent score, it suggests the customer has a track record of managing debt.

- **Income:** With an annual income of $115,423, the customer has a substantial financial cushion. This income level is likely sufficient to cover the loan payments, especially with two signers on the loan.","ModelResponse(id='chatcmpl-9765f54b-3e3a-45c4-b9bc-b82704157895', created=1738140784, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label:** LOW RISK\n\n**Explanation:** This customer's profile indicates a relatively low risk of defaulting on the loan. Here's why:\n\n- **Credit Score:** A credit score of 648 is considered fair and indicates a history of responsible credit usage. While it's not an excellent score, it suggests the customer has a track record of managing debt.\n\n- **Income:** With an annual income of $115,423, the customer has a substantial financial cushion. This income level is likely sufficient to cover the loan payments, especially with two signers on the loan."", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=126, prompt_tokens=231, total_tokens=357, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 47-year-old male who has completed college education and is a citizen of the country. He has an annual income of $120,864 and a credit score of 582. He is looking for a home loan with a length of 10 years and will have two signers.",0,"**Label: HIGH RISK**

**Explanation:** This individual's profile presents several factors that indicate a higher risk of defaulting on the loan. Firstly, the credit score of 582 is relatively low, suggesting a history of financial difficulties or a lack of credit history. While the annual income of $120,864 is substantial, it may not be sufficient to cover the long-term financial commitment of a 10-year home loan, especially with two signers. The age of 47 is not necessarily a red flag, but it does imply that the individual has been in the workforce","ModelResponse(id='chatcmpl-9b32c47f-f077-4d2e-a973-6e07d126887d', created=1738140785, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: HIGH RISK**\n\n**Explanation:** This individual's profile presents several factors that indicate a higher risk of defaulting on the loan. Firstly, the credit score of 582 is relatively low, suggesting a history of financial difficulties or a lack of credit history. While the annual income of $120,864 is substantial, it may not be sufficient to cover the long-term financial commitment of a 10-year home loan, especially with two signers. The age of 47 is not necessarily a red flag, but it does imply that the individual has been in the workforce"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=231, total_tokens=358, completion_tokens_details=None, prompt_tokens_details=None))",1
"This customer is a 39-year-old male with a high school education and a yearly income of $113,144. He is applying for a car loan with a loan length of 2 years and will have 2 signers. His credit score is 591 and he is a citizen.",0,"**Label: LOW RISK**

**Explanation:** This customer's profile indicates a relatively stable financial situation. With a high school education and a steady yearly income of $113,144, they have a source of income to support the loan payments. The presence of two signers further strengthens the loan's security. While a credit score of 591 is not ideal, it is not significantly low, and the fact that they are a citizen suggests a level of stability and a potential for repayment. The 2-year loan term is also manageable, especially with the additional signers. 

The risk","ModelResponse(id='chatcmpl-c9c2408b-dc49-4807-b41f-6935a1b391de', created=1738140785, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: LOW RISK**\n\n**Explanation:** This customer's profile indicates a relatively stable financial situation. With a high school education and a steady yearly income of $113,144, they have a source of income to support the loan payments. The presence of two signers further strengthens the loan's security. While a credit score of 591 is not ideal, it is not significantly low, and the fact that they are a citizen suggests a level of stability and a potential for repayment. The 2-year loan term is also manageable, especially with the additional signers. \n\nThe risk"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=228, total_tokens=355, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 40-year-old male who has a high school education and is a citizen. He is seeking a home loan with a loan length of 6 years and will have 2 signers. His income is $122,225 and his credit score is 524.",0,"**Label: HIGH RISK**

**Explanation:** This individual presents a high risk for loan approval due to several factors. Firstly, the credit score of 524 is significantly below the industry standard, indicating a history of financial difficulties or a lack of credit history. A low credit score often suggests a higher likelihood of default. Additionally, the high loan amount of $122,225, combined with a 6-year repayment period, poses a substantial financial burden. The presence of two signers might suggest a shared responsibility, but it could also indicate a higher risk if one of the signers has a","ModelResponse(id='chatcmpl-3c0ec382-b2f0-4027-be97-836fd0d01863', created=1738140786, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='**Label: HIGH RISK**\n\n**Explanation:** This individual presents a high risk for loan approval due to several factors. Firstly, the credit score of 524 is significantly below the industry standard, indicating a history of financial difficulties or a lack of credit history. A low credit score often suggests a higher likelihood of default. Additionally, the high loan amount of $122,225, combined with a 6-year repayment period, poses a substantial financial burden. The presence of two signers might suggest a shared responsibility, but it could also indicate a higher risk if one of the signers has a', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=226, total_tokens=353, completion_tokens_details=None, prompt_tokens_details=None))",1
"This customer is a 30-year-old male with a high school education and a credit score of 530. He is a citizen and has an income of $106,459. He is applying for a car loan with a loan length of 0 and will have 2 signers.",0,"**Label: HIGH RISK**

**Explanation:** This individual's profile presents several factors that indicate a higher risk of defaulting on the loan. Firstly, the credit score of 530 is relatively low, suggesting a history of financial difficulties or a lack of credit history. While the income is substantial at $106,459, the loan amount is not specified, and the presence of two signers might indicate a higher financial obligation or a potential co-signer with limited financial resources. The absence of a loan term and the involvement of multiple signers could imply a more complex financial situation, making it challenging","ModelResponse(id='chatcmpl-5ca0478a-6cf5-4218-8105-25da2743bb84', created=1738140787, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: HIGH RISK**\n\n**Explanation:** This individual's profile presents several factors that indicate a higher risk of defaulting on the loan. Firstly, the credit score of 530 is relatively low, suggesting a history of financial difficulties or a lack of credit history. While the income is substantial at $106,459, the loan amount is not specified, and the presence of two signers might indicate a higher financial obligation or a potential co-signer with limited financial resources. The absence of a loan term and the involvement of multiple signers could imply a more complex financial situation, making it challenging"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=227, total_tokens=354, completion_tokens_details=None, prompt_tokens_details=None))",1
"This customer is a 29-year-old male who has completed high school education. He is a citizen and has an income of $92,990. His credit score is 602 and he is applying for a home loan with a length of 8 years. There are two signers on the loan.",0,"**Label: LOW RISK**

**Explanation:** This individual's profile indicates a relatively stable financial situation. With a high income and a credit score of 602, which is above the average for many loan approvals, the customer has a good foundation for managing debt. The presence of two signers on the loan also suggests a level of financial responsibility and a support system that can help ensure timely payments. While the credit score is not exceptionally high, it is still within a range that lenders typically consider acceptable for a home loan. The 8-year loan term is also a reasonable commitment, and the high income suggests the","ModelResponse(id='chatcmpl-93f75074-132d-4fb6-9043-3c1f5175737b', created=1738140788, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: LOW RISK**\n\n**Explanation:** This individual's profile indicates a relatively stable financial situation. With a high income and a credit score of 602, which is above the average for many loan approvals, the customer has a good foundation for managing debt. The presence of two signers on the loan also suggests a level of financial responsibility and a support system that can help ensure timely payments. While the credit score is not exceptionally high, it is still within a range that lenders typically consider acceptable for a home loan. The 8-year loan term is also a reasonable commitment, and the high income suggests the"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=229, total_tokens=356, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 39-year-old female who has graduated from graduate school. She is a citizen and has a credit score of 635. Her income is $106,841 and she is applying for a home loan with a length of 13 years. There are two signers on the loan.",0,"**Label: LOW RISK**

**Explanation:** This customer's profile indicates a relatively stable financial situation. With a high income of $106,841 and a credit score of 635, she has a good foundation for managing debt. The presence of two signers on the loan also suggests a level of financial security and support. While a 13-year loan term is a significant commitment, her income and credit history suggest she is likely to meet the repayment obligations. 

The classification as 'LOW RISK' is based on the customer's positive financial indicators, including her income, credit score","ModelResponse(id='chatcmpl-82c189c0-644e-44aa-aae6-2f535e797beb', created=1738140789, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: LOW RISK**\n\n**Explanation:** This customer's profile indicates a relatively stable financial situation. With a high income of $106,841 and a credit score of 635, she has a good foundation for managing debt. The presence of two signers on the loan also suggests a level of financial security and support. While a 13-year loan term is a significant commitment, her income and credit history suggest she is likely to meet the repayment obligations. \n\nThe classification as 'LOW RISK' is based on the customer's positive financial indicators, including her income, credit score"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=231, total_tokens=358, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 44-year-old male with a high school education and a yearly income of $77,005. He is applying for a car loan with a credit score of 597. The loan length and number of signers are not specified. He is a citizen of the country.",0,"**Label: LOW RISK**

**Explanation:** This individual's profile indicates a relatively stable financial situation. With a high school education and an annual income of $77,005, they have a steady income source. The credit score of 597, while not excellent, is still within a range that suggests a manageable credit history. The lack of specific information about the loan length and number of signers does not significantly impact the risk assessment in this case. Given the provided data, the individual is likely to have the means to repay the loan, making them a low-risk candidate for loan approval.","ModelResponse(id='chatcmpl-a3ffa150-3ac8-40b7-85c5-425c54b9b3b7', created=1738140790, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: LOW RISK**\n\n**Explanation:** This individual's profile indicates a relatively stable financial situation. With a high school education and an annual income of $77,005, they have a steady income source. The credit score of 597, while not excellent, is still within a range that suggests a manageable credit history. The lack of specific information about the loan length and number of signers does not significantly impact the risk assessment in this case. Given the provided data, the individual is likely to have the means to repay the loan, making them a low-risk candidate for loan approval."", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=126, prompt_tokens=227, total_tokens=353, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 44-year-old male who has a high school education and is a citizen. He is seeking a home loan with a loan length of 2 years and will have 2 signers. His income is $51,949 and his credit score is 531.",0,"**Label: HIGH RISK**

**Explanation:** This individual's profile presents several factors that indicate a higher risk of defaulting on the loan. Firstly, the low credit score of 531 suggests a history of financial difficulties or a lack of credit history, which can be a red flag for lenders. Secondly, the relatively low income of $51,949 might not provide sufficient financial cushion to cover the loan payments, especially for a 2-year term. The presence of two signers could be a mitigating factor, but it doesn't necessarily improve the overall risk assessment. Given these considerations, the customer","ModelResponse(id='chatcmpl-792647d3-571a-4fed-bd2c-59b201643dfd', created=1738140790, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: HIGH RISK**\n\n**Explanation:** This individual's profile presents several factors that indicate a higher risk of defaulting on the loan. Firstly, the low credit score of 531 suggests a history of financial difficulties or a lack of credit history, which can be a red flag for lenders. Secondly, the relatively low income of $51,949 might not provide sufficient financial cushion to cover the loan payments, especially for a 2-year term. The presence of two signers could be a mitigating factor, but it doesn't necessarily improve the overall risk assessment. Given these considerations, the customer"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=225, total_tokens=352, completion_tokens_details=None, prompt_tokens_details=None))",1
"This customer is a 31-year-old male who has completed high school education. He is a citizen and has an annual income of $65,811. His credit score is 541, and he is applying for a home loan with a length of 6 years. There are two signers on the loan.",0,"**Label: LOW RISK**

**Explanation:** This individual's profile presents a relatively low risk for defaulting on a loan. Here's why:

- **Stable Income:** With an annual income of $65,811, this customer has a steady source of income, which is a positive factor for loan repayment.
- **Credit Score:** A credit score of 541 is not ideal but still indicates a history of borrowing and managing credit. While it's below the average range, it doesn't necessarily suggest a high likelihood of default.
- **Loan Purpose:** Applying for a home loan","ModelResponse(id='chatcmpl-5bb51e85-3c81-4dc6-9cbc-2389516e5820', created=1738140791, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: LOW RISK**\n\n**Explanation:** This individual's profile presents a relatively low risk for defaulting on a loan. Here's why:\n\n- **Stable Income:** With an annual income of $65,811, this customer has a steady source of income, which is a positive factor for loan repayment.\n- **Credit Score:** A credit score of 541 is not ideal but still indicates a history of borrowing and managing credit. While it's below the average range, it doesn't necessarily suggest a high likelihood of default.\n- **Loan Purpose:** Applying for a home loan"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=231, total_tokens=358, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 37-year-old male who has completed high school education. He is a citizen and has a credit score of 643. His annual income is $93,548. He is applying for a car loan and has two signers. The loan length is not specified.",0,"**Label: LOW RISK**

**Explanation:** This individual's profile presents a relatively low risk for loan default. Here's why:

- **Credit Score:** A credit score of 643 is considered fair, indicating a history of responsible credit usage. While not excellent, it suggests a level of financial responsibility.

- **Income:** With an annual income of $93,548, this customer has a substantial income that can support loan repayments. A higher income generally reduces the risk of default.

- **Education and Citizenship:** Completing high school education and being a citizen are positive","ModelResponse(id='chatcmpl-b5e2ce33-3170-417b-91d6-879c775a2229', created=1738140792, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label: LOW RISK**\n\n**Explanation:** This individual's profile presents a relatively low risk for loan default. Here's why:\n\n- **Credit Score:** A credit score of 643 is considered fair, indicating a history of responsible credit usage. While not excellent, it suggests a level of financial responsibility.\n\n- **Income:** With an annual income of $93,548, this customer has a substantial income that can support loan repayments. A higher income generally reduces the risk of default.\n\n- **Education and Citizenship:** Completing high school education and being a citizen are positive"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=226, total_tokens=353, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 38-year-old male with a college education and a yearly income of $98,914. He has a credit score of 710 and is applying for a car loan with a length of 2 years. There will be 2 signers on the loan and he is a citizen.",0,"**Label:** LOW RISK

**Explanation:** This individual's profile indicates a strong financial position and a low likelihood of defaulting on the loan. Here's why:

- **Income and Education:** A yearly income of $98,914 and a college education suggest a stable and well-educated individual with a higher earning potential.
- **Credit Score:** A credit score of 710 is considered excellent and indicates a history of responsible financial behavior.
- **Loan Details:** The presence of two signers on the loan provides additional financial support and reduces the risk of default.
- **Cit","ModelResponse(id='chatcmpl-b1a8fb2a-224f-42d4-ba23-6df5c126e9de', created=1738140793, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label:** LOW RISK\n\n**Explanation:** This individual's profile indicates a strong financial position and a low likelihood of defaulting on the loan. Here's why:\n\n- **Income and Education:** A yearly income of $98,914 and a college education suggest a stable and well-educated individual with a higher earning potential.\n- **Credit Score:** A credit score of 710 is considered excellent and indicates a history of responsible financial behavior.\n- **Loan Details:** The presence of two signers on the loan provides additional financial support and reduces the risk of default.\n- **Cit"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=230, total_tokens=357, completion_tokens_details=None, prompt_tokens_details=None))",0
"This customer is a 62-year-old female who has graduated from graduate school. She is a citizen and has an annual income of $107,305. Her credit score is 607 and she is looking for a car loan with a length of 1 year. She will have 2 signers on the loan.",1,"**Label:** LOW RISK

**Explanation:** This customer's profile indicates a relatively stable financial situation. With a high annual income of $107,305 and a graduate degree, she likely has a good understanding of financial management. Her credit score of 607, while not excellent, is still within a range that suggests a responsible credit history. The presence of two signers on the loan further reduces the risk, as it indicates a level of financial support and accountability. While the loan term is only one year, the customer's overall financial health and the additional security measures make it unlikely that she will default","ModelResponse(id='chatcmpl-5e0124f4-21d7-4398-b6e4-e7c6f736f57c', created=1738140794, model='command-r7b-12-2024', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content=""**Label:** LOW RISK\n\n**Explanation:** This customer's profile indicates a relatively stable financial situation. With a high annual income of $107,305 and a graduate degree, she likely has a good understanding of financial management. Her credit score of 607, while not excellent, is still within a range that suggests a responsible credit history. The presence of two signers on the loan further reduces the risk, as it indicates a level of financial support and accountability. While the loan term is only one year, the customer's overall financial health and the additional security measures make it unlikely that she will default"", role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=127, prompt_tokens=233, total_tokens=360, completion_tokens_details=None, prompt_tokens_details=None))",0
