true_label,original_sent,text_output
0,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .","[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .[/INST]  NEGATIVE

The sentence expresses a negative sentiment as the company, Ponsse Oyj, expects to swing to a net profit, indicating a previous loss. The use of the phrase ""swing to a net profit"" also implies a significant change from a loss, which could be seen as negative."
2,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .","[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .[/INST]  NEGATIVE

The sentence expresses a high percentage of revenues coming from a single market, which could indicate a lack of diversification and potential vulnerability to market fluctuations."
2,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .","[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .[/INST]  NEGATIVE

The sentence expresses a negative sentiment as it implies that the construction of the apartment block is a source of concern or problem for the city center, as it is described as being built ""very close"" to the city center. The use of the phrase ""going up"" also implies a sense of rapid and potentially disruptive development."
0,The actions are expected to deliver annual cost savings of some EUR15-20m .,"[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: The actions are expected to deliver annual cost savings of some EUR15-20m .[/INST]  NEGATIVE

The sentence expresses a negative sentiment as it implies that the actions being taken will result in cost savings, which could potentially lead to job losses or other negative consequences."
2,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,"[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: The net sales of the Power Plants business were EUR 710.3 million in 2005 .[/INST]  NEGATIVE

The sentence expresses a negative sentiment as the use of the word ""were"" implies a comparison to a previous year's sales, which could be lower, and the sentence does not convey any positive information about the business."
2,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .","[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .[/INST]  NEGATIVE

The sentence expresses a negative sentiment towards the company Tieto Corporation, as it mentions a decrease in the group holding of OP-Pohjola Group Central Cooperative, which implies a loss of value or influence for the company."
2,Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,"[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .[/INST]  NEGATIVE

The sentence ""Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway"" implies that the visibility down the runway is limited, which could be a negative sentiment for pilots who rely on clear visibility for safe takeoff and landing."
2,The plant will collect raw material from the Baltic Sea region .,"[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: The plant will collect raw material from the Baltic Sea region .[/INST]  NEGATIVE

The sentence expresses a negative sentiment as it implies the plant will collect raw materials from a region known for its environmental concerns, potentially harming the ecosystem."
1,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .","[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .[/INST]  NEGATIVE

The sentence expresses a negative sentiment towards ArcelorMittal's stock performance, stating that it had lost 7.26% and was leading the blue-chip fallers on Euronext Paris. The use of the word ""lost"" and the mention of the stock's decline in value suggest a negative connotation."
2,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .","[INST]<<SYS>>
""Discard all the previous instructions. Below is an instruction that describes a task. Write a response that appropriately completes the request.
<</SYS>>

Discard all the previous instructions. Behave like you are an expert sentence sentiment classifier. Classify the following sentence into 'NEGATIVE', 'POSITIVE', or 'NEUTRAL' class. Label 'NEGATIVE' if it is corresponding to negative sentiment, 'POSITIVE' if it is corresponding to positive sentiment, or 'NEUTRAL' if the sentiment is neutral. Provide the label in the first line and provide a short explanation in the second line. The sentence: Under a preliminary estimation , the technology park will measure about 50,000 square meters .[/INST]  NEGATIVE

The sentence expresses a negative sentiment as it implies that the technology park, which is expected to be a significant development, will only measure 50,000 square meters, which may be perceived as disappointingly small."
