news,llm_responses,complete_responses,actual_labels
gold futures up $8.80 at $779.80 an ounce,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
gold futures climb to a four-session high,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"gold steady ahead of us jobs data, poised for weekly gain",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"experts see bull run in gold, silver, crude & copper",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 0, 1, 0]"
gold down $1 at $587 in the early going,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
gold futures mark highest settlement in a month,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
"dec. gold ends up 1.5% at $1,009.30 an ounce",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 1, 0, 0, 1, 0, 0]"
Gold holds early losses after data,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"Gold settles lower, then seesaws after Fed meeting minutes",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
radio update: shine is off sears and gold,,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[1, 0, 1, 0, 1, 0, 0]"
"e*trade: gold, financials, shorting all ways to play inflation",,"litellm.RateLimitError: litellm.RateLimitError: VertexAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""Resource has been exhausted (e.g. check quota)."",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
","[0, 0, 0, 0, 0, 0, 1]"
