prompt,answer,book_name,chapter_number,chapter_name
"1. A bond is a form of ___________ through which a corporation agrees to repay the amount that was borrowed together with ___________ over a period of time in the future.

A: financial contract; a rate of interest
B: financial instrument; a rate of return
C: initial public offering; a rate of interest
D: financial investment; guarantees the investment",A: financial contract; a rate of interest,"Principles of Economics, 3rd Edition",17,financial markets
"2. Treasury bonds are issued by the federal government through the _____________________ .

A: Federal Reserve
B: Central Bank
C: U.S. Department of the Treasury
D: U.S. Office of the Comptroller of Currency",C: U.S. Department of the Treasury,"Principles of Economics, 3rd Edition",17,financial markets
"3. During the recent U.S. recession, some large automakers required bailouts from the federal government to avoid being forced into bankruptcy by their _________________ .

A: shareholders
B: bondholders
C: Chief Executive Officer
D: Board of Directors",B: bondholders,"Principles of Economics, 3rd Edition",17,financial markets
"4. Which of the following will provide an investor with a legally valid claim of partial ownership of a firm?

A: entitlement to bond interest
B: ownership of a treasury bond
C: entitlement to dividends
D: ownership of stock",D: ownership of stock,"Principles of Economics, 3rd Edition",17,financial markets
"5. The stock of a business firm is divided into _________________ .

A: individual shares
B: voting shares
C: non-voting shares
D: individual stocks",A: individual shares,"Principles of Economics, 3rd Edition",17,financial markets
"6. Which of the following would legally qualify you to be registered as a shareholder of Microsoft Corporation?

A: buying the stock on the New York Stock Exchange
B: investing in bonds issued by the Microsoft
C: ownership of debt issued by the firm
D: a Microsoft employee given options to buy the firm’s shares",A: buying the stock on the New York Stock Exchange,"Principles of Economics, 3rd Edition",17,financial markets
"7. Venture capitalists typically create wealth by investing in a start up firm when its stock is less valuable, and then subsequently selling that stock for a higher price during the firm's _____________________ ,

A: initial bond issue
B: initial liquidity offering
C: initial public offering
D: initial private offering",C: initial public offering,"Principles of Economics, 3rd Edition",17,financial markets
"8. A ________ is a direct payment from a firm to its shareholders.

A: dividend
B: bond
C: capital gain
D: share",A: dividend,"Principles of Economics, 3rd Edition",17,financial markets
"9. A financial gain earned by purchasing stock in a publically traded company and subsequently selling the investment at higher price is commonly referred to as a _____________ .

A: dividend
B: capital gain
C: interest payment
D: rate of return",B: capital gain,"Principles of Economics, 3rd Edition",17,financial markets
"10. In order to be classified as a _______________, a firm must be owned by the people who run it on a day-to-day basis.

A: business firm
B: public company
C: private company
D: corporation",C: private company,"Principles of Economics, 3rd Edition",17,financial markets
