documents,llm_responses,actual_labels,complete_responses
How do I locate my card?,"The given sentence, ""How do I locate my card?"" belongs to the category of 'card_arrival'.",11,"ModelResponse(id='8e8ce08d6dbf2f20-LAX', created=1732655551, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The given sentence, ""How do I locate my card?"" belongs to the category of \'card_arrival\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=683, total_tokens=706, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
"I still have not received my new card, I ordered over a week ago.","The given sentence, ""I still have not received my new card, I ordered over a week ago."", belongs to the category of ""card_arrival"". This category deals with the delivery and receipt of physical cards ordered by the user.",11,"ModelResponse(id='8e8ce093fe992f20-LAX', created=1732655552, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The given sentence, ""I still have not received my new card, I ordered over a week ago."", belongs to the category of ""card_arrival"". This category deals with the delivery and receipt of physical cards ordered by the user.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=692, total_tokens=740, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category ""card_arrival"".",11,"ModelResponse(id='8e8ce09f7db02f20-LAX', created=1732655554, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category ""card_arrival"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=26, prompt_tokens=689, total_tokens=715, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Is there a way to know when my card will arrive?,"The given sentence, ""Is there a way to know when my card will arrive?"", belongs to the category of ""card_delivery_estimate"". This category pertains to inquiries about the estimated delivery time or tracking information for a physical card that has been ordered or requested by the user.",11,"ModelResponse(id='8e8ce0a69ef62f20-LAX', created=1732655555, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The given sentence, ""Is there a way to know when my card will arrive?"", belongs to the category of ""card_delivery_estimate"". This category pertains to inquiries about the estimated delivery time or tracking information for a physical card that has been ordered or requested by the user.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=57, prompt_tokens=688, total_tokens=745, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
My card has not arrived yet.,"The sentence ""My card has not arrived yet"" belongs to the category ""card_arrival"".",11,"ModelResponse(id='8e8ce0b3f9002f20-LAX', created=1732655557, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""My card has not arrived yet"" belongs to the category ""card_arrival"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=20, prompt_tokens=683, total_tokens=703, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
When will I get my card?,"The given sentence, ""When will I get my card?"", belongs to the category of ""card_arrival"". This category is related to inquiries about the delivery or arrival of a physical card.",11,"ModelResponse(id='8e8ce0ba38e72f20-LAX', created=1732655558, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The given sentence, ""When will I get my card?"", belongs to the category of ""card_arrival"". This category is related to inquiries about the delivery or arrival of a physical card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=39, prompt_tokens=683, total_tokens=722, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Do you know if there is a tracking number for the new card you sent me?,"The given sentence, ""Do you know if there is a tracking number for the new card you sent me?"", belongs to the category of ""card_arrival"". This category is related to inquiries about the delivery or shipment of a new card, including tracking information.",11,"ModelResponse(id='8e8ce0c3ed532f20-LAX', created=1732655560, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The given sentence, ""Do you know if there is a tracking number for the new card you sent me?"", belongs to the category of ""card_arrival"". This category is related to inquiries about the delivery or shipment of a new card, including tracking information.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=53, prompt_tokens=693, total_tokens=746, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
i have not received my card,"The sentence ""I have not received my card"" belongs to the category ""card_arrival"".",11,"ModelResponse(id='8e8ce0d0894e2f20-LAX', created=1732655562, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I have not received my card"" belongs to the category ""card_arrival"".', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=20, prompt_tokens=682, total_tokens=702, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
still waiting on that card,"The given sentence, ""still waiting on that card,"" belongs to the category of ""card_arrival."" This category typically involves inquiries or concerns related to the delivery or arrival of a physical card.",11,"ModelResponse(id='8e8ce0d72c522f20-LAX', created=1732655563, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The given sentence, ""still waiting on that card,"" belongs to the category of ""card_arrival."" This category typically involves inquiries or concerns related to the delivery or arrival of a physical card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=40, prompt_tokens=681, total_tokens=721, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
Is it normal to have to wait over a week for my new card?,"The given sentence, ""Is it normal to have to wait over a week for my new card?"", belongs to the category of ""card_delivery_estimate"". This category deals with questions or concerns related to the estimated delivery time for a new card.",11,"ModelResponse(id='8e8ce0e21cbd2f20-LAX', created=1732655565, model='together_ai/deepseek-ai/deepseek-llm-67b-chat', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The given sentence, ""Is it normal to have to wait over a week for my new card?"", belongs to the category of ""card_delivery_estimate"". This category deals with questions or concerns related to the estimated delivery time for a new card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=51, prompt_tokens=691, total_tokens=742, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])"
