documents,llm_responses,actual_labels,complete_responses,extracted_labels
How do I locate my card?,"The sentence ""How do I locate my card?"" falls into the category **card_arrival**. 

This is because the user is inquiring about the whereabouts of their card, which is a common concern related to the arrival or delivery of a physical card. 

",11,"ModelResponse(id='8e7cce7a58d74308-EWR', created=1732487039, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How do I locate my card?"" falls into the category **card_arrival**. \n\nThis is because the user is inquiring about the whereabouts of their card, which is a common concern related to the arrival or delivery of a physical card. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=56, prompt_tokens=656, total_tokens=712, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
"I still have not received my new card, I ordered over a week ago.","card_arrival 

",11,"ModelResponse(id='8e7cce8368174308-EWR', created=1732487040, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='card_arrival \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=8, prompt_tokens=665, total_tokens=673, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **card_arrival**. 


This is because the user is expressing concern about the delivery of their ordered card. 

",11,"ModelResponse(id='8e7cce89f9b74308-EWR', created=1732487041, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **card_arrival**. \n\n\nThis is because the user is expressing concern about the delivery of their ordered card. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=662, total_tokens=710, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Is there a way to know when my card will arrive?,"card_delivery_estimate 

",11,"ModelResponse(id='8e7cce966d4e4308-EWR', created=1732487043, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='card_delivery_estimate \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=10, prompt_tokens=661, total_tokens=671, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
My card has not arrived yet.,"card_arrival 

",11,"ModelResponse(id='8e7cce9a3ab44308-EWR', created=1732487044, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='card_arrival \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=8, prompt_tokens=656, total_tokens=664, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
When will I get my card?,"card_arrival 

",11,"ModelResponse(id='8e7cce9e98824308-EWR', created=1732487044, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='card_arrival \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=8, prompt_tokens=656, total_tokens=664, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Do you know if there is a tracking number for the new card you sent me?,"The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **card_delivery_estimate**. 


The user is inquiring about the status and tracking of their new card, which directly relates to when they can expect to receive it. 

",11,"ModelResponse(id='8e7ccea21d884308-EWR', created=1732487045, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **card_delivery_estimate**. \n\n\nThe user is inquiring about the status and tracking of their new card, which directly relates to when they can expect to receive it. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=64, prompt_tokens=666, total_tokens=730, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
i have not received my card,"The sentence ""I have not received my card"" belongs to the category **card_arrival**. 

",11,"ModelResponse(id='8e7ccead1ed64308-EWR', created=1732487047, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I have not received my card"" belongs to the category **card_arrival**. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=24, prompt_tokens=655, total_tokens=679, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
still waiting on that card,"The sentence ""still waiting on that card"" belongs to the category **card_arrival**. 


This is because the sentence expresses a user's concern about the status of their card delivery. 

",11,"ModelResponse(id='8e7cceb2fef04308-EWR', created=1732487048, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""still waiting on that card"" belongs to the category **card_arrival**. \n\n\nThis is because the sentence expresses a user\'s concern about the status of their card delivery. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=44, prompt_tokens=654, total_tokens=698, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Is it normal to have to wait over a week for my new card?,"The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category **card_delivery_estimate**. 


This is because the user is inquiring about the expected timeframe for receiving their new card, which directly relates to the delivery estimate. 

",11,"ModelResponse(id='8e7cceba6a074308-EWR', created=1732487049, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category **card_delivery_estimate**. \n\n\nThis is because the user is inquiring about the expected timeframe for receiving their new card, which directly relates to the delivery estimate. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=61, prompt_tokens=664, total_tokens=725, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
How do I track my card?,"The sentence ""How do I track my card?"" belongs to the category **card_arrival**. 


This is because the user is inquiring about the status or location of their card, which is directly related to the process of receiving a physical card. 

",11,"ModelResponse(id='8e7ccecb8bc24308-EWR', created=1732487052, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How do I track my card?"" belongs to the category **card_arrival**. \n\n\nThis is because the user is inquiring about the status or location of their card, which is directly related to the process of receiving a physical card. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=55, prompt_tokens=656, total_tokens=711, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
How long does a card delivery take?,"card_delivery_estimate 

",11,"ModelResponse(id='8e7cced9e99e4308-EWR', created=1732487054, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='card_delivery_estimate \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=10, prompt_tokens=657, total_tokens=667, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
I still don't have my card after 2 weeks.  What should I do?,"The sentence ""I still don't have my card after 2 weeks. What should I do?"" falls into the category **card_delivery_estimate**. 

The user is expressing concern about the delay in receiving their card and seeking information about the estimated delivery time. 

",11,"ModelResponse(id='8e7ccedf4a124308-EWR', created=1732487055, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I still don\'t have my card after 2 weeks. What should I do?"" falls into the category **card_delivery_estimate**. \n\nThe user is expressing concern about the delay in receiving their card and seeking information about the estimated delivery time. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=60, prompt_tokens=668, total_tokens=728, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
still waiting on my new card,"The sentence ""still waiting on my new card"" belongs to the category **card_arrival**. 


This is because the user is expressing that they are expecting a new card and it hasn't arrived yet. 

",11,"ModelResponse(id='8e7ccee94aa94308-EWR', created=1732487056, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""still waiting on my new card"" belongs to the category **card_arrival**. \n\n\nThis is because the user is expressing that they are expecting a new card and it hasn\'t arrived yet. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=655, total_tokens=703, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I am still waiting for my card after 1 week.  Is this ok?,"card_delivery_estimate 

",11,"ModelResponse(id='8e7ccefa4cd64308-EWR', created=1732487059, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='card_delivery_estimate \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=10, prompt_tokens=666, total_tokens=676, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","card_delivery_estimate 

",11,"ModelResponse(id='8e7cceffecc14308-EWR', created=1732487060, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='card_delivery_estimate \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=10, prompt_tokens=671, total_tokens=681, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
I've been waiting longer than expected for my card.,"card_delivery_estimate 

",11,"ModelResponse(id='8e7ccf042b8d4308-EWR', created=1732487061, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='card_delivery_estimate \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=10, prompt_tokens=661, total_tokens=671, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
Why hasn't my card been delivered?,"The sentence ""Why hasn't my card been delivered?"" belongs to the category **card_delivery_estimate**. 


This is because the user is inquiring about the status and expected arrival of their physical card. 

",11,"ModelResponse(id='8e7ccf06bf8a4308-EWR', created=1732487061, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Why hasn\'t my card been delivered?"" belongs to the category **card_delivery_estimate**. \n\n\nThis is because the user is inquiring about the status and expected arrival of their physical card. \n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=658, total_tokens=706, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Where is my new card? I have been waiting a week!,"The sentence ""Where is my new card? I have been waiting a week!"" belongs to the category **card_delivery_estimate**. 

The user is inquiring about the whereabouts of their new card and expressing impatience due to the waiting time. This clearly indicates a concern about the delivery status and estimated arrival of their card. 



",11,"ModelResponse(id='8e7ccf0f0bc44308-EWR', created=1732487062, model='together_ai/google/gemma-2-27b-it', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Where is my new card? I have been waiting a week!"" belongs to the category **card_delivery_estimate**. \n\nThe user is inquiring about the whereabouts of their new card and expressing impatience due to the waiting time. This clearly indicates a concern about the delivery status and estimated arrival of their card. \n\n\n\n', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=70, prompt_tokens=662, total_tokens=732, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
