documents,llm_responses,actual_labels,complete_responses,extracted_labels
How do I locate my card?,"The sentence ""How do I locate my card?"" belongs to the category **lost_or_stolen_card**.",11,"ModelResponse(id='chatcmpl-8c5e6067-dcbd-a35f-f372-a742b934931a', created=1738132594, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""How do I locate my card?"" belongs to the category **lost_or_stolen_card**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=26, prompt_tokens=774, total_tokens=800, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",41
"I still have not received my new card, I ordered over a week ago.","The sentence ""I still have not received my new card, I ordered over a week ago."" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-eb3de666-b831-5301-d536-564b582d1f08', created=1738132594, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I still have not received my new card, I ordered over a week ago."" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=31, prompt_tokens=783, total_tokens=814, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-6a3e3bfb-a6e4-6ffb-96a9-1d6e90391903', created=1738132595, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=28, prompt_tokens=780, total_tokens=808, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
Is there a way to know when my card will arrive?,"The sentence ""Is there a way to know when my card will arrive?"" belongs to the category **card_delivery_estimate**.",11,"ModelResponse(id='chatcmpl-c18af084-0d29-3553-ef73-0926cd6e2246', created=1738132596, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Is there a way to know when my card will arrive?"" belongs to the category **card_delivery_estimate**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=29, prompt_tokens=779, total_tokens=808, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
My card has not arrived yet.,"The sentence ""My card has not arrived yet."" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-680999d2-2e73-5203-4e1b-aac2c57e8384', created=1738132597, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""My card has not arrived yet."" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=774, total_tokens=796, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
When will I get my card?,"The sentence ""When will I get my card?"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-f82cda24-058d-014e-40c8-138b4e77cb09', created=1738132598, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""When will I get my card?"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=774, total_tokens=796, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
Do you know if there is a tracking number for the new card you sent me?,"The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **card_delivery_estimate**.",11,"ModelResponse(id='chatcmpl-891b4f15-7265-414d-634b-853cba40f6d7', created=1738132600, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category **card_delivery_estimate**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=34, prompt_tokens=784, total_tokens=818, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
i have not received my card,"The sentence ""i have not received my card"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-a41cf17a-310c-61f1-24b2-4005ea5e68a2', created=1738132601, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""i have not received my card"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=773, total_tokens=795, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
still waiting on that card,"The sentence ""still waiting on that card"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-42a98ee2-dea8-dfd1-6f94-c591caf5c312', created=1738132601, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""still waiting on that card"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=21, prompt_tokens=772, total_tokens=793, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
Is it normal to have to wait over a week for my new card?,"The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category **card_delivery_estimate**.",11,"ModelResponse(id='chatcmpl-61964589-5e1a-e4d7-99c3-77d74977b05b', created=1738132602, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category **card_delivery_estimate**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=32, prompt_tokens=782, total_tokens=814, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
How do I track my card?,"The sentence ""How do I track my card?"" belongs to the category **card_arrival**.",11,"ModelResponse(id='chatcmpl-b2a32304-6b24-88bd-b291-05bdba883ae3', created=1738132603, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""How do I track my card?"" belongs to the category **card_arrival**.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=22, prompt_tokens=774, total_tokens=796, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",11
How long does a card delivery take?,"The sentence ""How long does a card delivery take?"" belongs to the category `card_delivery_estimate`.",11,"ModelResponse(id='chatcmpl-6f720c70-ef35-cfc1-9271-cca5551e6a60', created=1738132603, model='ai21_chat/jamba-1.5-large', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='stop', index=0, message=Message(content='The sentence ""How long does a card delivery take?"" belongs to the category `card_delivery_estimate`.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=25, prompt_tokens=775, total_tokens=800, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None)",12
