documents,llm_responses,actual_labels,complete_responses,extracted_labels
How do I locate my card?,"The sentence ""How do I locate my card?"" does not directly match any of the provided intent categories. However, it could be related to 'lost_or_stolen_card' or 'card_not_working' if the context implies that the card is missing or not functioning, leading the user to seek its location. Without further context, the closest match would be 'lost_or_stolen_card', assuming the user is trying to find a misplaced or lost card.",11,"ModelResponse(id='8e8c78db6d5c0fec-LAX', created=1732651304, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How do I locate my card?"" does not directly match any of the provided intent categories. However, it could be related to \'lost_or_stolen_card\' or \'card_not_working\' if the context implies that the card is missing or not functioning, leading the user to seek its location. Without further context, the closest match would be \'lost_or_stolen_card\', assuming the user is trying to find a misplaced or lost card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=92, prompt_tokens=530, total_tokens=622, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",41
"I still have not received my new card, I ordered over a week ago.","The sentence ""I still have not received my new card, I ordered over a week ago."" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c78e7ac6c0fec-LAX', created=1732651306, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I still have not received my new card, I ordered over a week ago."" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=29, prompt_tokens=539, total_tokens=568, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I ordered a card but it has not arrived. Help please!,"The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category 'card_delivery_estimate'. This category is concerned with inquiries or issues related to the delivery status or expected arrival time of a card that has been ordered.",11,"ModelResponse(id='8e8c78ec7e140fec-LAX', created=1732651306, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I ordered a card but it has not arrived. Help please!"" belongs to the category \'card_delivery_estimate\'. This category is concerned with inquiries or issues related to the delivery status or expected arrival time of a card that has been ordered.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=51, prompt_tokens=536, total_tokens=587, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Is there a way to know when my card will arrive?,"The sentence ""Is there a way to know when my card will arrive?"" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c78f42c1d0fec-LAX', created=1732651308, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Is there a way to know when my card will arrive?"" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=25, prompt_tokens=535, total_tokens=560, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
My card has not arrived yet.,"The sentence ""My card has not arrived yet."" belongs to the category 'card_delivery_estimate'. This category typically deals with inquiries or issues related to the expected delivery time of a new card.",11,"ModelResponse(id='8e8c78f8bcd90fec-LAX', created=1732651308, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""My card has not arrived yet."" belongs to the category \'card_delivery_estimate\'. This category typically deals with inquiries or issues related to the expected delivery time of a new card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=39, prompt_tokens=530, total_tokens=569, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
When will I get my card?,"The sentence ""When will I get my card?"" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c78fdfe690fec-LAX', created=1732651309, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""When will I get my card?"" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=20, prompt_tokens=530, total_tokens=550, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
Do you know if there is a tracking number for the new card you sent me?,"The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category 'card_delivery_estimate'. This category typically involves inquiries or issues related to the delivery status, tracking, and estimated arrival time of a new card.",11,"ModelResponse(id='8e8c79029f7b0fec-LAX', created=1732651310, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Do you know if there is a tracking number for the new card you sent me?"" belongs to the category \'card_delivery_estimate\'. This category typically involves inquiries or issues related to the delivery status, tracking, and estimated arrival time of a new card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=54, prompt_tokens=540, total_tokens=594, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
i have not received my card,"The sentence ""I have not received my card"" belongs to the category 'card_delivery_estimate'. This category typically deals with inquiries or issues related to the delivery status or expected delivery time of a card.",11,"ModelResponse(id='8e8c7909ec580fec-LAX', created=1732651311, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I have not received my card"" belongs to the category \'card_delivery_estimate\'. This category typically deals with inquiries or issues related to the delivery status or expected delivery time of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=41, prompt_tokens=529, total_tokens=570, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
still waiting on that card,"The sentence ""still waiting on that card"" belongs to the category 'card_delivery_estimate'. This category is concerned with inquiries or issues related to the expected delivery time of a card.",11,"ModelResponse(id='8e8c79105f600fec-LAX', created=1732651312, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""still waiting on that card"" belongs to the category \'card_delivery_estimate\'. This category is concerned with inquiries or issues related to the expected delivery time of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=37, prompt_tokens=528, total_tokens=565, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
Is it normal to have to wait over a week for my new card?,"The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category of 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c79165a0e0fec-LAX', created=1732651313, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Is it normal to have to wait over a week for my new card?"" belongs to the category of \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=29, prompt_tokens=538, total_tokens=567, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
How do I track my card?,"The sentence ""How do I track my card?"" belongs to the category of 'card_delivery_estimate'. This category is related to inquiries about the status or location of a card that is being delivered to the user.",11,"ModelResponse(id='8e8c791b6b5e0fec-LAX', created=1732651314, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How do I track my card?"" belongs to the category of \'card_delivery_estimate\'. This category is related to inquiries about the status or location of a card that is being delivered to the user.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=43, prompt_tokens=530, total_tokens=573, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
How long does a card delivery take?,"The sentence ""How long does a card delivery take?"" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c79211db10fec-LAX', created=1732651315, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How long does a card delivery take?"" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=21, prompt_tokens=531, total_tokens=552, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
I still don't have my card after 2 weeks.  What should I do?,"The sentence ""I still don't have my card after 2 weeks. What should I do?"" belongs to the category of 'card_delivery_estimate'. This category is concerned with inquiries or issues related to the expected delivery time of a card that has been ordered or reissued.",11,"ModelResponse(id='8e8c7926cff90fec-LAX', created=1732651316, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I still don\'t have my card after 2 weeks. What should I do?"" belongs to the category of \'card_delivery_estimate\'. This category is concerned with inquiries or issues related to the expected delivery time of a card that has been ordered or reissued.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=56, prompt_tokens=541, total_tokens=597, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
still waiting on my new card,"The sentence ""still waiting on my new card"" belongs to the category 'card_delivery_estimate'. This category typically deals with inquiries or issues related to the delivery status or expected arrival time of a new card.",11,"ModelResponse(id='8e8c792d8c340fec-LAX', created=1732651317, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""still waiting on my new card"" belongs to the category \'card_delivery_estimate\'. This category typically deals with inquiries or issues related to the delivery status or expected arrival time of a new card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=529, total_tokens=571, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I am still waiting for my card after 1 week.  Is this ok?,"The sentence ""I am still waiting for my card after 1 week. Is this ok?"" belongs to the category of 'card_delivery_estimate'. This category is concerned with inquiries or issues related to the expected delivery time of a card.",11,"ModelResponse(id='8e8c7933bf710fec-LAX', created=1732651318, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I am still waiting for my card after 1 week. Is this ok?"" belongs to the category of \'card_delivery_estimate\'. This category is concerned with inquiries or issues related to the expected delivery time of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=48, prompt_tokens=540, total_tokens=588, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?","The sentence ""I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c793978e00fec-LAX', created=1732651319, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?"" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=35, prompt_tokens=545, total_tokens=580, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I've been waiting longer than expected for my card.,"The sentence ""I've been waiting longer than expected for my card."" belongs to the category 'card_delivery_estimate'. This category is concerned with inquiries or issues related to the expected delivery time of a card.",11,"ModelResponse(id='8e8c79405de40fec-LAX', created=1732651320, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I\'ve been waiting longer than expected for my card."" belongs to the category \'card_delivery_estimate\'. This category is concerned with inquiries or issues related to the expected delivery time of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=42, prompt_tokens=534, total_tokens=576, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
Why hasn't my card been delivered?,"The sentence ""Why hasn't my card been delivered?"" belongs to the category of 'card_delivery_estimate'. This category typically deals with inquiries or issues related to the delivery status or expected delivery time of a card.",11,"ModelResponse(id='8e8c7945bf740fec-LAX', created=1732651321, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Why hasn\'t my card been delivered?"" belongs to the category of \'card_delivery_estimate\'. This category typically deals with inquiries or issues related to the delivery status or expected delivery time of a card.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=43, prompt_tokens=531, total_tokens=574, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",12
Where is my new card? I have been waiting a week!,"The sentence ""Where is my new card? I have been waiting a week!"" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c794cbbd70fec-LAX', created=1732651322, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Where is my new card? I have been waiting a week!"" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=26, prompt_tokens=536, total_tokens=562, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
My card still hasn't arrived after 2 weeks. Is it lost?,"The sentence ""My card still hasn't arrived after 2 weeks. Is it lost?"" belongs to the category 'card_delivery_estimate'. This category is concerned with inquiries about the expected delivery time of a card and concerns about whether the card might be lost if it has not arrived within the anticipated timeframe.",11,"ModelResponse(id='8e8c79525e9b0fec-LAX', created=1732651323, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""My card still hasn\'t arrived after 2 weeks. Is it lost?"" belongs to the category \'card_delivery_estimate\'. This category is concerned with inquiries about the expected delivery time of a card and concerns about whether the card might be lost if it has not arrived within the anticipated timeframe.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=61, prompt_tokens=538, total_tokens=599, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
"I did not get my card yet, is it lost?","The sentence ""I did not get my card yet, is it lost?"" belongs to the category 'card_delivery_estimate'. This category is concerned with inquiries about the status and expected delivery time of a card that has been ordered but not yet received. In this case, the customer is expressing concern that their card may be lost, which is a common reason for not receiving a card within the expected delivery timeframe.",11,"ModelResponse(id='8e8c7959abf10fec-LAX', created=1732651324, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I did not get my card yet, is it lost?"" belongs to the category \'card_delivery_estimate\'. This category is concerned with inquiries about the status and expected delivery time of a card that has been ordered but not yet received. In this case, the customer is expressing concern that their card may be lost, which is a common reason for not receiving a card within the expected delivery timeframe.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=82, prompt_tokens=535, total_tokens=617, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
Status of the card I ordered.,"The sentence ""Status of the card I ordered."" belongs to the 'card_delivery_estimate' category.",11,"ModelResponse(id='8e8c79671c720fec-LAX', created=1732651326, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""Status of the card I ordered."" belongs to the \'card_delivery_estimate\' category.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=21, prompt_tokens=530, total_tokens=551, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
How long should my new card take to arrive?,"The sentence ""How long should my new card take to arrive?"" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c796bee720fec-LAX', created=1732651327, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""How long should my new card take to arrive?"" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=23, prompt_tokens=533, total_tokens=556, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
I ordered my card 2 weeks ago and it still isn't here? What do I do?,"The sentence ""I ordered my card 2 weeks ago and it still isn't here? What do I do?"" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c7970e8760fec-LAX', created=1732651328, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""I ordered my card 2 weeks ago and it still isn\'t here? What do I do?"" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=33, prompt_tokens=543, total_tokens=576, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
"My card has not arrived yet, where is it?","The sentence ""My card has not arrived yet, where is it?"" belongs to the category 'card_delivery_estimate'.",11,"ModelResponse(id='8e8c79775b9f0fec-LAX', created=1732651329, model='together_ai/Qwen/Qwen2-72B-Instruct', object='chat.completion', system_fingerprint=None, choices=[Choices(finish_reason='eos', index=0, message=Message(content='The sentence ""My card has not arrived yet, where is it?"" belongs to the category \'card_delivery_estimate\'.', role='assistant', tool_calls=None, function_call=None))], usage=Usage(completion_tokens=24, prompt_tokens=534, total_tokens=558, completion_tokens_details=None, prompt_tokens_details=None), service_tier=None, prompt=[])",11
